120.5,105.67,103,53.5,258.5,260.33,2,0
121.5,94.33,82.33,48.5,277.5,251.33,2,0
122.5,91,111,46.5,240.5,244.5,2,0
123.5,83,83,58.5,231.5,228,2,0
124.5,93,118.33,31.5,264.5,253.67,2,0
125.5,105,101.67,52.5,242.5,250.83,2,0
126.5,89,112.33,43.5,271.5,258.17,2,0
127.5,118.33,110.33,67.5,252.5,274.33,2,0
128.5,113.67,83.67,21.5,230.5,224.67,2,0
129.5,82.33,119.67,61.5,250.5,257,2,0
130.5,119,99,60.5,263.5,271,2,0
131.5,107,86.33,38.5,222.5,227.17,2,0
132.5,91.67,95,64.5,267.5,259.33,2,0
133.5,115.67,96.33,76.5,236.5,262.5,2,0
134.5,112.33,85.67,79.5,225.5,251.5,2,0
135.5,89.67,97.67,41.5,274.5,251.67,2,0
136.5,97,105,27.5,247.5,238.5,2,0
137.5,96.33,99.67,65.5,233.5,247.5,2,0
138.5,111.67,87,70.5,270.5,269.83,2,0
139.5,85,93,24.5,259.5,231,2,0
140.5,81.67,111.67,36.5,228.5,229.17,2,0
141.5,119.67,109,42.5,220.5,245.83,2,0
142.5,111,114.33,68.5,246.5,270.17,2,0
143.5,80.33,88.33,72.5,256.5,248.83,2,0
144.5,114.33,108.33,71.5,224.5,259.33,2,0
145.5,90.33,89,59.5,244.5,241.67,2,0
146.5,101,91.67,49.5,268.5,255.33,2,0
147.5,109.67,94.33,75.5,245.5,262.5,2,0
148.5,113,93.67,30.5,235.5,236.33,2,0
149.5,99,81.67,35.5,251.5,233.83,2,0
150.5,88.33,98.33,57.5,254.5,249.33,2,0
151.5,117.67,113.67,26.5,275.5,266.67,2,0
152.5,102.33,100.33,54.5,257.5,257.33,2,0
153.5,95.67,92.33,29.5,223.5,220.5,2,0
154.5,108.33,85,55.5,227.5,238.17,2,0
155.5,86.33,101,45.5,276.5,254.67,2,0
156.5,99.67,117.67,73.5,266.5,278.67,2,0
157.5,101.67,113,28.5,241.5,242.33,2,0
158.5,107.67,84.33,66.5,249.5,254,2,0
159.5,110.33,105.67,62.5,265.5,272,2,0
160.5,115,95.67,20.5,278.5,254.83,2,0
161.5,109,107,39.5,232.5,244,2,0
162.5,81,81,77.5,226.5,233,2,0
163.5,117,116.33,50.5,273.5,278.67,2,0
164.5,87,109.67,78.5,234.5,254.83,2,0
165.5,103,115,74.5,221.5,257,2,0
166.5,97.67,102.33,44.5,272.5,258.5,2,0
167.5,92.33,119,32.5,237.5,240.67,2,0
168.5,98.33,89.67,69.5,255.5,256.5,2,0
169.5,85.67,107.67,25.5,239.5,229.17,2,0
170.5,87.67,117,34.5,262.5,250.83,2,0
171.5,103.67,90.33,33.5,229.5,228.5,2,0
172.5,116.33,104.33,47.5,253.5,260.83,2,0
173.5,100.33,97,51.5,260.5,254.67,2,0
174.5,93.67,106.33,23.5,269.5,246.5,2,0
175.5,95,87.67,37.5,279.5,249.83,2,0
176.5,106.33,80.33,22.5,261.5,235.33,2,0
177.5,84.33,91,40.5,243.5,229.67,2,0
178.5,104.33,103.67,63.5,248.5,260,2,0
179.5,83.67,115.67,56.5,238.5,247.17,2,0
